Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community / project,What is your personal focus in this community / project (Academic Research),What is your personal focus in this community / project (Development/Building),What is your personal focus in this community / project (Entrepreneurial Networking),What is your personal focus in this community / project (Speculative Research),What is your personal focus in this community / project (Community and friends),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project are you most excited about?,Which kind of project are you most excited about? (DeFi),Which kind of project are you most excited about? (Payments & On-Ramp),Which kind of project are you most excited about? (Other),Which kind of project are you most excited about? (DAO),Which kind of project are you most excited about? (Infrastructure),Which kind of project are you most excited about? (Wallet),Which kind of project are you most excited about? (Stablecoin),Which kind of project are you most excited about? (NFTs),Which kind of project are you most excited about? (Gaming & Metaverse),Which kind of project are you most excited about? (Bridge),Which kind of project are you most excited about? (Tooling & SDKs),Which kind of project are you most excited about? (DEX),Which kind of project are you most excited about? (Analytics & Block Explorer),Which kind of project are you most excited about? (Launchpad & Fundraising),How do you rate the Launch Party on Youtube?,Untitled long answer field,How often do you use Firefly?,What features are missing that would make you use Firefly more often?,What is currently stopping you from recommending Firefly to other people?,Anything else you'd like to share with the Firefly team?,How would you rate the documentation at https://wiki.iota.org,"Regarding the developer docs, tutorials, and tools, what do you expect the IOTA developer experience team to do more? (You can provide as many suggestions as you like)",Which project's (crypto/no-crypto) developer experience that you feel most exciting and why? Please provide as many details as you can,"The IOTA Foundation recently announced that it would enlarge its scope from only focusing on IoT and M2M. Do you have any thoughts about that, you would like to share with us?",An ever increasing amount of new crypto projects constantly enters the space. Which ones have you been taking an interest in within the past 6 months? (Bonus points if you tell us why),What should the IOTA Foundation do more? Please don’t forget to add why
Z9jp8B,eqEyKE,2022-10-12 9:21:16,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, NFTs, Gaming & Metaverse, Stablecoin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Once a week,,,,,,,,,
M1Xr4A,1AMpeL,2022-10-15 7:48:19,Positive,"Academic Research, Development/Building, Community and friends",TRUE,TRUE,FALSE,FALSE,TRUE,4,"DAO, Infrastructure, DeFi, Other",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,A few times a week,,,,9,,,,,
rD504R,GxLQZz,2022-10-15 7:49:10,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,4,"DeFi, DAO, NFTs, Gaming & Metaverse, Bridge, DEX, Infrastructure, Wallet, Stablecoin, Payments & On-Ramp, Tooling & SDKs",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,,A few times a week,,,,10,,,,,
laB0xv,BzZ2rY,2022-10-15 7:50:53,Positive,"Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,4,"DeFi, NFTs, Gaming & Metaverse, Infrastructure, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,,Once a month,,,,10,,,,,
Ge6oZk,KYLa9K,2022-10-15 7:51:03,Positive,"Development/Building, Academic Research",TRUE,TRUE,FALSE,FALSE,FALSE,3,"DeFi, DEX, DAO, Stablecoin",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,,Once a week,,,,9,,,,,
Ge6oMZ,WOPj4L,2022-10-15 7:53:37,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"DeFi, NFTs, Gaming & Metaverse",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,,A few times a week,Connect with other chains,"Not compatible with bsc, eth,...",Nothing,8,Keep on doing like right now!,,None,"Azero (another DAG project)
Partisia  (a new vision of blockchain- multyparty chain-)",Marketing to reach more people 
q5LY6G,vG4dkX,2022-10-15 7:54:13,Positive,"Development/Building, Speculative Research, Community and friends",FALSE,TRUE,FALSE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, Infrastructure, Stablecoin, Wallet, NFTs, DEX, Bridge, Analytics & Block Explorer, Tooling & SDKs",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,,A few times a week,Fiat Ramp,Nothing,I LOVE you team!! 2023 is our year!,10,,,,,
7XqJGZ,MeL7BE,2022-10-15 7:54:34,Positive,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Stablecoin, Gaming & Metaverse, Bridge, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,,Once a month,,,,,,,,,
X5LRXg,D45ZQX,2022-10-15 7:54:58,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,2,"DeFi, Gaming & Metaverse, Other",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Less than once a month,,,,5,"Videos on YouTube for nodejs dev or all different languages.
Udemy Trainings.","Chainkink: very professional team, very established contacts to tradFi and main drivers of the DeFi ecosystem. Would love to see some collaboration or integrations here",,"Soonaverse of course as they are leading the iota space
AuditOne
Iota we and shimmersea, looking forward to see their unique iota based tokenomics",Events together with established crypto projects that could potentially build or integrate with iota. Honestly I also would be interested in opinions of experienced dApp developers about shimmer
4aQ1eX,ZjlZ0A,2022-10-15 7:55:44,Positive,"Development/Building, Community and friends, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,TRUE,3,"Launchpad & Fundraising, Infrastructure, DeFi, Payments & On-Ramp, Stablecoin",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,Once a week,Mobile for shimmer ,Nothing,,,,,"Keep institutional relations and real world adoption as an important part of your portfolio! I see I trike that => shimmer for web3 => iota for real world adoption. You decide if a project is more shimmer or more iota related, however thats how I would market it","Soonaverse - utility is king
RRCC - it seems like they are really building a community
Tanglepay & iotabee - they are really building
Shimmersea - seems to have the community in mind
Nakama Labs -  a little VC funding might be usefull
Lendexe - Iota stablecoin might be important
",You are great! Keep the community with you. Continue to build! Get funding! 
