"Submission ID","Respondent ID","Submitted at","How are you feeling about IOTA &amp; Shimmer right now?","What is your personal focus in this community / project","What is your personal focus in this community / project (Academic Research)","What is your personal focus in this community / project (Development/Building)","What is your personal focus in this community / project (Entrepreneurial Networking)","What is your personal focus in this community / project (Speculative Research)","What is your personal focus in this community / project (Community and friends)","What is your personal focus in this community / project (Governance)","How confident are you in the progress IOTA &amp; Shimmer is making?","Which libraries do you use for development (select all that apply)?","Which libraries do you use for development (select all that apply)? (Wallet library - https://github.com/iotaledger/wallet.rs)","Which libraries do you use for development (select all that apply)? (Client library - https://github.com/iotaledger/iota.rs)","Are you using the Rust crates, one of the bindings or iota.js?","Which bindings are you using? ","Which bindings are you using?  (NodeJS)","Which bindings are you using?  (Python)","Which bindings are you using?  (Java)","Which bindings are you using?  (Swift)","Which bindings are you using?  (WASM)","What are you using for learning resources? (e.g. wiki, codebase)","Do you have any feature request?","Do you have any feedback?","Which kind of project are you most excited about?","Which kind of project are you most excited about? (DeFi)","Which kind of project are you most excited about? (Payments & On-Ramp)","Which kind of project are you most excited about? (Other)","Which kind of project are you most excited about? (DAO)","Which kind of project are you most excited about? (Infrastructure)","Which kind of project are you most excited about? (Wallet)","Which kind of project are you most excited about? (Stablecoin)","Which kind of project are you most excited about? (NFTs)","Which kind of project are you most excited about? (Gaming)","Which kind of project are you most excited about? (Bridge)","Which kind of project are you most excited about? (Tooling & SDKs)","Which kind of project are you most excited about? (DEX)","Which kind of project are you most excited about? (Analytics & Block Explorer)","Which kind of project are you most excited about? (Launchpad & Fundraising)","Which kind of project are you most excited about? (Metaverse)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Smart Contracts)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DeFi)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Tokenomics)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DLT Protocol Features (zK, Sharding, etc..))","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Security (Managing tokens, bridges, etc..))","In which form would you prefer to learn new things the most?","In which form would you prefer to learn new things the most? (Blog posts)","In which form would you prefer to learn new things the most? (Twitter threads)","In which form would you prefer to learn new things the most? (IOTA Wiki Content)","In which form would you prefer to learn new things the most? (YouTube clips)","In which form would you prefer to learn new things the most? (Recorded Live Sessions)","In which form would you prefer to learn new things the most? (Podcasts)","Specific to the IOTA protocol, which things do you want to learn with priority?","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA 2.0 consensus)","Specific to the IOTA protocol, which things do you want to learn with priority? (Mana)","Specific to the IOTA protocol, which things do you want to learn with priority? (Digital Identity)","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA Smart Contracts)","Specific to the IOTA protocol, which things do you want to learn with priority? (Develop on IOTA (use libraries, etc))"
"eDPzOe","ArVbPe","2023-03-16 17:03:17","Positive","Speculative Research",false,false,false,true,false,false,4,,,,,,,,,,,,,,"DeFi, Stablecoin, DEX, Launchpad & Fundraising",true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,"Tokenomics",false,false,true,false,false,"Blog posts, Twitter threads",true,true,false,false,false,false,"Mana, IOTA 2.0 consensus, Digital Identity",true,true,true,false,false
"zNvdBR","0VpjQB","2023-03-16 17:03:37","Positive","Development/Building, Speculative Research, Community and friends, Governance",false,true,false,true,true,true,3,"Client library - https://github.com/iotaledger/iota.rs, Wallet library - https://github.com/iotaledger/wallet.rs",true,true,"Rust Crates",,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Stablecoin, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,"Tokenomics, DLT Protocol Features (zK, Sharding, etc..)",false,false,true,true,false,"YouTube clips, Twitter threads, Blog posts, Podcasts",true,true,false,true,false,true,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,false,true,true
"lqZzkB","44LEak","2023-03-16 17:04:32","Positive","Community and friends, Speculative Research, Development/Building",false,true,false,true,true,false,2,"Client library - https://github.com/iotaledger/iota.rs",false,true,"iota.js",,,,,,,"Wiki",,"Pls release shimmer EVM in Q2/23 ;)","DeFi, DAO, NFTs, Gaming, Bridge, DEX, Analytics & Block Explorer, Tooling & SDKs, Payments & On-Ramp",true,true,false,true,false,false,false,true,true,true,true,true,true,false,false,"DeFi, Tokenomics",false,true,true,false,false,"Blog posts, IOTA Wiki Content, YouTube clips, Recorded Live Sessions",true,false,true,true,true,false,"Mana, Develop on IOTA (use libraries, etc), IOTA 2.0 consensus",true,true,false,false,true
"NDyP1B","bZ04ZZ","2023-03-16 17:04:52","Positive","Speculative Research",false,false,false,true,false,false,4,,,,,,,,,,,,,,"Wallet, Other, Analytics & Block Explorer, Payments & On-Ramp, Tooling & SDKs",false,true,true,false,false,true,false,false,false,false,true,false,true,false,false,"Smart Contracts",true,false,false,false,false,"YouTube clips, Twitter threads",false,true,false,true,false,false,"Digital Identity, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",false,false,true,true,true
"qaezl7","9NzJNV","2023-03-16 17:05:37","Negative","Speculative Research",false,false,false,true,false,false,3,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Stablecoin, Infrastructure, Analytics & Block Explorer, DEX, Bridge, Launchpad & Fundraising, Wallet",true,true,false,false,true,true,true,false,false,true,false,true,true,true,false,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Podcasts, Recorded Live Sessions, Blog posts, Twitter threads",true,true,false,false,true,true,"IOTA Smart Contracts, IOTA 2.0 consensus, Mana",true,true,false,true,false
"8z5rBx","gbRNa4","2023-03-16 17:05:59","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,4,,,,,,,,,,,,,,"Infrastructure, Bridge, DeFi",true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,"DLT Protocol Features (zK, Sharding, etc..), Tokenomics, Smart Contracts",true,false,true,true,false,"Twitter threads, YouTube clips",false,true,false,true,false,false,"IOTA 2.0 consensus, Mana, Develop on IOTA (use libraries, etc)",true,true,false,false,true
"rBWYXM","Qo6Be7","2023-03-16 17:07:49","Positive","Speculative Research",false,false,false,true,false,false,3,,,,,,,,,,,,,,"Infrastructure, DeFi, Payments & On-Ramp, DEX, DAO",true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,false,true,true,"Blog posts, YouTube clips, Podcasts",true,false,false,true,false,true,"Digital Identity, IOTA Smart Contracts, IOTA 2.0 consensus, Mana",true,true,true,true,false
"WrdqyJ","ArVb2D","2023-03-16 17:07:58","Positive","Community and friends, Speculative Research",false,false,false,true,true,false,3,,,,,,,,,,,,,,"DeFi, Wallet, Bridge, DEX, Infrastructure, Payments & On-Ramp",true,true,false,false,true,true,false,false,false,true,false,true,false,false,false,"Smart Contracts, DeFi, Tokenomics, Security (Managing tokens, bridges, etc..), DLT Protocol Features (zK, Sharding, etc..)",true,true,true,true,true,"YouTube clips, Blog posts",true,false,false,true,false,false,"Mana, IOTA 2.0 consensus, Digital Identity, Develop on IOTA (use libraries, etc), IOTA Smart Contracts",true,true,true,true,true
"ZoyQ5v","Qo6BVp","2023-03-16 17:10:48","Positive","Academic Research, Speculative Research, Governance, Development/Building, Entrepreneurial Networking, Community and friends",true,true,true,true,true,true,3,"Client library - https://github.com/iotaledger/iota.rs, Wallet library - https://github.com/iotaledger/wallet.rs",true,true,"Rust Crates",,,,,,,"codebase, github, discord","summary of github development, see https://www.essentialcardano.io/development-update
weekly summary of progress","You are doing a great job, I would love a little more transparency","DeFi, Payments & On-Ramp, Infrastructure, Wallet, Bridge, DEX, Launchpad & Fundraising",true,true,false,false,true,true,false,false,false,true,false,true,false,true,false,"Smart Contracts, Tokenomics, DeFi, DLT Protocol Features (zK, Sharding, etc..)",true,true,true,true,false,"Twitter threads, YouTube clips, Blog posts",true,true,false,true,false,false,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts",true,true,false,true,false
"DKyWBX","NqeB6G","2023-03-16 17:12:04","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DAO, Wallet, Infrastructure, Metaverse, Launchpad & Fundraising",false,false,false,true,true,true,false,false,false,false,false,false,false,true,true,"Smart Contracts, DeFi",true,true,false,false,false,"Blog posts, Twitter threads, YouTube clips, Podcasts, Recorded Live Sessions",true,true,false,true,true,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
