Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community,What is your personal focus in this community (Academic Research),What is your personal focus in this community (Development/Building),What is your personal focus in this community (Entrepreneurial Networking),What is your personal focus in this community (Speculative Research),What is your personal focus in this community (Community and friends),What is your personal focus in this community (Governance),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project(s) are you most excited about?,Which kind of project(s) are you most excited about? (DeFi),Which kind of project(s) are you most excited about? (Payments & On-Ramp),Which kind of project(s) are you most excited about? (Other),Which kind of project(s) are you most excited about? (DAO),Which kind of project(s) are you most excited about? (Infrastructure),Which kind of project(s) are you most excited about? (Wallet),Which kind of project(s) are you most excited about? (Stablecoin),Which kind of project(s) are you most excited about? (NFTs),Which kind of project(s) are you most excited about? (Gaming),Which kind of project(s) are you most excited about? (Metaverse),Which kind of project(s) are you most excited about? (Bridge),Which kind of project(s) are you most excited about? (Tooling & SDKs),Which kind of project(s) are you most excited about? (DEX),Which kind of project(s) are you most excited about? (Analytics & Block Explorer),Which kind of project(s) are you most excited about? (Launchpad & Fundraising),Which kind of project(s) are you most excited about? (Identity),How transparent do you feel the foundation and their departments are?,How satisfied are you with the way the foundation and their departments communicate?,How much do you agree with the following statement?The IF is making efforts towards being transparent and open.,Are there any specific topics that you would like to see the foundation and their departments communicate more about?
5zpA2Z,xDOYjo,2023-09-27 13:01:12,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Identity, Wallet, Stablecoin, NFTs",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,3,
P6Gqle,a47d5q,2023-09-27 13:01:50,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, Identity, Wallet",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,1,
Lb62Yp,gqKGqd,2023-09-27 13:02:03,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Identity, Infrastructure, Wallet, DEX, Analytics & Block Explorer, Tooling & SDKs",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,2,
g0koZ4,zMPYMq,2023-09-27 13:02:05,Positive,"Development/Building, Speculative Research",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,"Gaming, Identity, Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,3,2,
ZNZBRo,YPZ01J,2023-09-27 13:02:43,Positive,"Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DEX, Infrastructure",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,
J6W4ko,ElyWxo,2023-09-27 13:02:51,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"DeFi, DAO, Bridge, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,3,2,
oykj0e,BpM777,2023-09-27 13:03:05,Positive,"Entrepreneurial Networking, Development/Building, Academic Research",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Stablecoin, NFTs, Gaming, Metaverse, Bridge, Launchpad & Fundraising, Wallet",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,4,
1lpabQ,RoEPPl,2023-09-27 13:03:22,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Infrastructure, Identity, Wallet, Gaming",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,2,
GzQPYp,RoEPPp,2023-09-27 13:03:28,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, Identity, Wallet, Stablecoin, Gaming, Metaverse, DEX",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,
EXNOvX,XoZ0Wd,2023-09-27 13:03:56,Positive,"Academic Research, Development/Building",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, DAO, NFTs, Launchpad & Fundraising, Tooling & SDKs",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,2,
V046bv,LKRpbO,2023-09-27 13:04:23,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"DeFi, Infrastructure, Wallet, Identity, Bridge, DEX, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,2,
